"題目","答案","答對回饋語","答錯回饋語"
"He ______ a student.","is","Perfect!","Oops!"
"I ______ to the park yesterday.","went","Correct!","Almost!"
"______ is your name?","What","Bingo!","Keep trying!"
"蘋果的英文怎麼拼？(小寫)","apple","Well done!","Oops, wrong."
"There is ______ eraser on the desk.","an","That's right!","Almost!"
"______ do you go to school?","How","Well done!","Oops, wrong."
"She ______ playing the piano now.","is","Great!","Not quite."
"Do you like dogs? Yes, I ______.","do","Bingo!","Incorrect."
"My father's sister is my ______.","aunt","Excellent!","Try again!"
"Today is Sunday. Tomorrow is ______.","Monday","Perfect!","Not quite."
"Listen! The singer is ______ .","singing","That's right!","Try again!"
"Where ______ you live?","do","Great!","Don't give up!"
"It is very ______ in summer .","hot","Great!","Keep trying!"
"______ you help me?","Can","Correct!","Almost!"
"How ______ books do you have?","many","Good job!","Not quite."
