"題目","選項A","選項B","選項C","選項D","正確答案","答對回饋語","答錯回饋語"
"計算 0.5 + 0.3 的答案是多少？","0.2","0.5","0.8","0.15","選項C","答對了！","答錯了！"
"長方形長 10 公分寬 5 公分請問周長是多少公分？","15","30","50","25","選項B","很棒！","不對喔！"
"將分數 1/2 換算成小數是多少？","0.2","0.5","0.1","0.25","選項B","正確！","可惜！"
"這件衣服打八折表示售價是原價的多少倍？","0.2","8","0.8","80","選項C","沒錯！","錯囉！"
"時速 40 公里行駛 2 小時會走多少公里？","20","60","80","42","選項C","答對了！","加油！"
"若 2 : 3 = 4 : x 請問 x 是多少？","5","6","7","8","選項B","好厲害！","算錯囉！"
"正方形的邊長是 6 公分面積是多少平方公分？","24","36","12","30","選項B","Bingo！","不對喔！"
"方程式 x + 10 = 25 請問 x 等於多少？","15","35","10","5","選項A","正確！","再想想！"
"三角形底 4 公分高 5 公分面積是多少平方公分？","20","10","9","12","選項B","答對了！","忘記囉！"
"1 公斤等於多少公克？","10","100","1000","10000","選項C","沒錯！","記錯囉！"
"計算 1 - 0.4 的答案是多少？","0.6","0.5","1.4","0.4","選項A","算得好！","小心計算！"
"下列哪一個數字是 3 的倍數？","10","13","14","15","15","正確！","錯囉！"
"長方體長寬高分別是 2 和 3 和 4 體積是多少？","9","20","24","12","選項C","棒！","算錯了！"
"班上有 30 人其中一半是女生請問女生有幾人？","10","15","20","25","選項B","沒錯！","不對吧！"
"12 和 8 的最大公因數是多少？","2","4","6","8","選項B","答對了！","再想想！"
