"題目","提示"
"計算 0.5 + 0.3 的答案是多少？","注意小數點要對齊"
"長方形長 10 公分寬 5 公分請問周長是多少公分？","公式是 (長+寬) × 2"
"將分數 1/2 換算成小數是多少？","將分子除以分母 (1 ÷ 2)"
"這件衣服打八折表示售價是原價的多少倍？","「八折」就是 80%"
"時速 40 公里行駛 2 小時會走多少公里？","距離 = 速率 × 時間"
"若 2 : 3 = 4 : x 請問 x 是多少？","內項相乘等於外項相乘 (3×4 = 2×x)"
"正方形的邊長是 6 公分面積是多少平方公分？","公式是 邊長 × 邊長"
"方程式 x + 10 = 25 請問 x 等於多少？","將 +10 移到等號右邊變 -10"
"三角形底 4 公分高 5 公分面積是多少平方公分？","公式是 (底 × 高) ÷ 2"
"1 公斤等於多少公克？","kilo 代表 1000"
"計算 1 - 0.4 的答案是多少？","把 1 看成 1.0 來計算"
"下列哪一個數字是 3 的倍數？","各位數相加如果是 3 的倍數就是了"
"長方體長寬高分別是 2 和 3 和 4 體積是多少？","公式是 長 × 寬 × 高"
"班上有 30 人其中一半是女生請問女生有幾人？","一半就是除以 2"
"12 和 8 的最大公因數是多少？","找出兩數共同因數中最大的一個"
"He ______ a student.","主詞 He 是第三人稱單數，搭配 is"
"I ______ to the park yesterday.","yesterday 表示過去式"
"______ is your name?","詢問「什麼」名字"
"蘋果的英文怎麼拼？(小寫)","紅色水果，a 開頭"
"There is ______ eraser on the desk.","eraser 是母音開頭，要用 an"
"______ do you go to school?","詢問交通方式 (如何去)"
"She ______ playing the piano now.","now 表示現在進行式 (be + V-ing)"
"Do you like dogs? Yes, I ______.","助動詞 Do 問，助動詞 Do 答"
"My father's sister is my ______.","爸爸的姐妹稱謂"
"Today is Sunday. Tomorrow is ______.","星期日的隔天"
"Listen! The singer is ______ .","正在發生的動作要用進行式"
"Where ______ you live?","主詞 you 搭配的助動詞"
"It is very ______ in summer .","夏天的氣溫特徵"
"______ you help me?","請求幫忙的助動詞"
"How ______ books do you have?","books 可數，問數量用 many"
"下列哪一個成語用來形容「多此一舉，做了不必要的事」？","畫了蛇還加上腳"
"「他做事總是□□□□，難怪大家都不放心。」空格中適合填入哪個成語？","形容不細心、隨便"
"下列詞語中，哪一個沒有錯別字？","注意「再接再厲」的寫法"
"「勉強」的「強」字，注音應該念什麼？","三聲，指迫使、盡力"
"「忐忑不安」是用來形容心情如何？","心神不寧，七上八下"
"下列哪一個詞語的意思和「謙虛」相反？","自以為是，看不起人"
"「一□馬、一□畫、一□筆」，空格中依序應填入哪些量詞？","馬用匹，畫用幅"
"下列哪一句話使用了「擬人」修辭？","把非人的事物當成人來描寫"
"「曇花一現」是用來比喻什麼？","美好的事物存在時間很短"
"下列哪一個成語形容「見識狹窄」？","像住在井底看天空"
"「即使下雨，我也要去。」句中的「即使」可以用哪個詞替換？","表示假設讓步的語氣"
"成語「目不轉睛」是用來形容什麼？","眼珠子都不動一下"
"下列哪一個字的部首錯誤？","「口」部還是「言」部？"
"「他高興得飛了起來」這句話使用了什麼修辭？","運用想像力，誇大鋪張"
"下列哪一組詞語是「相似詞」？","找出意思相近的一組"
