"題目","選項A","選項B","選項C","選項D","正確答案"
"根據皮亞傑的認知發展論，國小高年級到國中的學生通常正處於哪個階段，開始具備抽象思考與邏輯推理的能力？","感覺動作期","前運思期","具體運思期","形式運思期","D"
"在維高斯基的理論中，學生自己無法獨立完成，但在教師或同儕鷹架協助下可以完成的學習區域稱為什麼？","最近發展區","認知失調區","自我效能區","絕對發展區","A"
"下列哪一種行為主義的增強方式，最容易讓學生養成「賭博式」的成癮行為（例如一直刷手機看有沒有新通知），且行為最難消除？","固定比率增強","固定時距增強","變動比率增強","連續增強","C"
"根據訊息處理理論，將短期記憶中的訊息轉化為長期記憶，最關鍵的策略是？","感覺登錄","複誦與精緻化","遺忘 ","自動化","B"
"班杜拉的社會學習論中，提到學生透過觀察楷模行為而產生學習，此過程稱為？","試誤學習","頓悟學習","替代學習","操作制約","C"
"關於「內在動機」與「外在動機」，下列敘述何者正確？","給予獎金一定是最好的激勵方式","為了興趣與成就學習，是內在動機","外在動機通常比內在動機更久","老師應完全消除學生的外在動機","B"
"「後設認知」最簡單的定義是什麼？","對認知的認知","智商測驗的分數","大腦的神經傳導速度","記憶的容量大小","A"
"某位老師在課程「進行中」不斷給予學生小考與回饋，以便調整教學進度。這種評量稱為？","安置性評量","形成性評量","總結性評量","診斷性評量","B"
"下列何者是「建構主義」教學的核心信念？","知識是客觀存在的教師應直接灌輸","學習是被動接收訊息的過程","學習者主動建構知識的意義","只要反覆練習就能精熟學習","C"
"在教學設計著名的 ADDIE 模型中，第一個「A」代表什麼階段？","評鑑","分析","應用","建築 ","B"
"淡江教科系這幾年非常重視「未來學」，在規劃教育方案時，通常會強調哪種視角？","僅回顧過去的歷史數據","預測單一且確定的未來","探索多種可能的未來","忽視科技變遷的影響","C"
"戴爾提出的「經驗金字塔」，最底層、學習效果最直接具體的經驗是？","閱讀文字","觀賞影片","參觀展覽","直接有目的的經驗","D"
"下列哪一種科技通常指的是「在現實環境中疊加虛擬資訊」？","虛擬實境 (VR)","擴增實境 (AR)","人工智慧 (AI)","3D 列印","B"
"在教學設計的 ADDIE 模型中，最後一個「E」代表什麼？","評鑑與修正","進入教室","激發動機","設備檢查","A"
"淡江教科系課程中常提到的「績效科技」，其主要目的為何？","透過科技解決人類績效落差","專門研究電腦硬體的效能","設計最昂貴的教育訓練課程","評估學生的體育成績","A"
"下列何者是「非同步教學 」的特性？","師生必須在同一時間上線","通常透過直播軟體（如 Zoom, Teams）進行","學習者可以隨時登入平台觀看預錄影片或教材，時間彈性","互動性一定是最高的","C"
"在數位學習標準中，最常見的教材互通標準（讓教材可以在不同平台上使用）是？","HTML","SCORM","MP4","JPEG","B"
"設計思考的五個步驟流程，正確順序為何？","測試→發想→定義→原型→同理心","同理心→定義→發想→原型→測試","分析→設計→發展→執行→評鑑","觀察→假設→實驗→結論","B"
"關於翻轉教的概念，下列敘述何者正確？","學生在課堂上聽講，回家寫作業","回家看教學影片，課堂上討論實作","老師整堂課都不說話讓學生自習","教室的桌椅必須全部翻過來放","B"
"數位原住民通常是指哪個世代的人？","出生在二戰後的嬰兒潮世代","從小接觸數位產品的世代","拒絕使用科技的人","發明電腦的科學家","B"
"p5.js中,哪個函數在程式開始時只運行一次?","setup()","draw()","preload()","mousePressed()","A"
"哪個函數會不斷重複執行,用於繪製畫面?","setup()","draw()","mouseClicked()","keyTyped()","B"
"用於載入外部檔案(如圖片或CSV)的函數是?","createCanvas()","background()","preload()","fill()","C"
"設定畫布大小的函數是?","setSize()","canvas()","createCanvas()","window()","C"
"改變圖形填充顏色的函數是?","fill()","stroke()","rect()","color()","A"
"p5.js的畫布原點(0,0)在哪個位置?","左上角","右下角","中心","左下角","A"
"這堂課上課地點在哪裡?","L102","L105","L110","L104","C"
"老師教學時沒有使用到的是?","p5.vscode","GitHub Copilt","HackMD","Adobe","D"
